type ligne;;;origine;ex;auteur 1;auteur 2;editeur;yr;J;classe;age;durée;nombre;moy;dif;m.c.;Ph;R;A;;;;;;;;;;;;;;;
tag;Apero;18 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Dvonn;new;Achat;1;Burm;;Gigamic;2001;;JP;9;15mn;98;4,46;3;;;R;_;2;;;;;;;;;;;;;;
jeux;Roma;new;;1;Feld;;Queen Games;2005;;JP;8;30mn;75;4,17;3;;;R;A;2;;;;;;;;;;;;;;
jeux;Wings of War - Famous Aces;new;Achat;1;Angiolino;;Nexus;2004;;JP;10;30mn;58;3,71;1;;;_;_;2;;;;;;;;;;;;;;
jeux;Wings of War - Burning Drachens;new;Achat;1;Angiolino;;Nexus;2005;;JP;10;30mn;10;3,90;1;;;_;_;2;;;;;;;;;;;;;;
jeux;Carcassonne - Die Burg;;Achat;1;Knizia;;Hans im Glück;2003;;JP;10;60mn;61;3,95;3;;;R;_;2;;;;;;;;;;;;;;
tag;Très jeunes Enfants;21 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Allons faire les courses (Wir gehen einkaufen);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Affaire de flair (Trüffel - Schnüffel);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;La princesse au petit pois (Die erbsen prinzessin);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;4 in Reihe (n°36);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Poker (n°35);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Bingolini (n°41);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Backgammon (n°46);;Haba;2;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Bataille Navale (n°17);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Hüpfspiele (n°1);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Solitaire (n°44);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Piège Fantome (Flaschen geist);;Haba;1;;;Haba;;J;;;;;;;;;;;;;;;;;;;;;;;;;
jeux;Cache toi vite ! (GeiSlein, versteck dich !);;Achat;1;Lehmann;;Haba;_;J;;4;_;_;_;_;;;R;;2;3;4;;;;;;;;;;;;
jeux;Danse des œufs;new;Achat;1;Fraga;;Haba;2003;J;;5;15mn;68;4,14;1;;;_;_;2;3;4;;;;;;;;;;;;
jeux;La Tortue Tatoune (Schildi Schildkröte);new;Achat;1;Hofstätter;;Haba;2005;J;;4;15mn;2;4,00;0;;;R;_;2;3;4;;;;;;;;;;;;
jeux;Viva Topo;new;Achat;1;Ludwig;;Selecta;2001;J;;4;30mn;23;4,52;1;;;R;;2;3;4;;;;;;;;;;;;
jeux;Quips;;Achat;1;Coster;;Ravensburger;_;J;;3;10mn;_;_;_;;P;_;;2;3;4;;;;;;;;;;;;
jeux;Tirez les Oreilles (Ohren Ziehen);;Achat;1;Pokornik;;Haba;2004;J;;3;5mn;_;_;0;;;R;;2;3;4;;;;;;;;;;;;
jeux;Splash Attack;;Achat;1;Chapeau;;Gigamic;2005;J;;5;10mn;18;3,61;1;;P;_;A;2;3;4;;;;;;;;;;;;
jeux;Fantomatique ! (Gespenstisch !);;Achat;1;Schacht;;Haba;2006;J;;4;10mn;_;_;0;;;R;;2;3;4;5;;;;;;;;;;;
jeux;Felix Flosse;;Achat;1;Bauer;Grenier;Haba;1997;J;;4;10mn;2;2,50;0;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Huhuuh;;Achat;1;Einkenberg;;Haba;1994;J;;4;20mn;4;3,75;1;;P;_;;2;3;4;5;6;7;;;;;;;;;
tag;Enfants;34 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Chessquito;;Sento-Sphère;1;_;;SentoSphère;1999;J;GP;5;15mn;4;3,00;1;;;_;;2;;;;;;;;;;;;;;
jeux;Gagne ton papa;new;JSP;1;Perriolat;;Gigamic;2006;J;_;3;10mn;6;4,00;_;;;_;_;2;;;;;;;;;;;;;;
jeux;Akaba;;Achat;1;Hoffmann;;Haba;2004;J;GP;5;20mn;9;3,88;1;;;R;;2;3;4;;;;;;;;;;;;
jeux;Chercher le code;;Achat;1;Ludwig;;Haba;_;J;;6;15mn;_;_;_;;P;_;;2;3;4;;;;;;;;;;;;
jeux;Poney Club;;Tilsit;1;_;;Tilsit;2006;J;;7;30mn;_;_;_;;P;_;;2;3;4;;;;;;;;;;;;
jeux;Philibert;;Sento-Sphère;1;Debroise;;SentoSphère;2001;J;;3;10mn;1;3,00;1;;;_;;2;3;4;;;;;;;;;;;;
jeux;Pingouin;;Achat;1;Cornett;Jakeliunas;Phalanx Games;2005;J;GP;8;20mn;46;4,08;1;;P;R;;2;3;4;;;;;;;;;;;;
jeux;Pat le Pirate;;Achat;1;Kramer;;Haba;2000;J;GP;5;30mb;9;3,77;1;;;R;;2;3;4;;;;;;;;;;;;
jeux;Kayanak;;Achat;1;Joopen;;Haba;1998;J;;6;30mn;4;3,75;0;;;R;;2;3;4;;;;;;;;;;;;
jeux;Halli Galli;;Achat;1;Shafir;;Amigo;1997;J;GP;4;15mn;4;3,50;0;;;R;;2;3;4;;;;;;;;;;;;
jeux;Gare au Renard (Kot Op Stelten);;Achat;1;Teubner;;Haba;2006;J;;4;20mn;_;_;_;;P;_;;2;3;4;;;;;;;;;;;;
jeux;La Nuit des Magiciens;;Achat;1;Becker;Schliemann;Drei Magier Spiele;2005;J;GP;6;30mn;24;4,33;1;;P;_;;2;3;4;;;;;;;;;;;;
jeux;Le Bandit Brigandi (Rauber Rudi);;Achat;1;Kramer;;Haba;2004;J;;5;30mn;_;_;1;;P;_;;2;3;4;;;;;;;;;;;;
jeux;L'Escalier Hanté (Geistertreppe);;Achat;1;Schanen;;Drei Magier Spiele;2003;J;;4;15mn;28;3,96;0;;;R;;2;3;4;;;;;;;;;;;;
jeux;Le Petit Bois Hanté (Geisterwäldchen);;Achat;1;Schanen;;Drei Magier Spiele;2005;J;;4;30mn;3;4,33;1;;;R;;2;3;4;;;;;;;;;;;;
jeux;Marrakesh;;Achat;1;Ludwig;;Haba;2002;J;;6;20mn;8;3,00;0;;P;_;;2;3;4;;;;;;;;;;;;
jeux;Pique Plume;;Achat;1;Zoch;;Zoch;1998;J;;4;20mn;104;4,48;1;;P;_;A;2;3;4;;;;;;;;;;;;
jeux;Crash Pilot;;Achat;1;Staupe;;Amigo;2004;J;;6;20mn;3;4,66;1;;;R;;2;3;4;5;;;;;;;;;;;
jeux;Le Safari de Luigi (Lari Safari);;Achat;1;Moyersoen;;Haba;2005;J;;5;15mn;1;3,00;1;;;R;;2;3;4;5;;;;;;;;;;;
jeux;A toute vitesse (Von 0 auf 100);;Achat;1;Ehrhard;;Haba;2005;J;;6;20mn;1;4,00;1;;;R;;2;3;4;5;;;;;;;;;;;
jeux;Der Plumpsack Geht Um;;Achat;1;Staupe;;Amigo;2003;J;;5;15mn;1;4,00;1;;P;_;;2;3;4;5;;;;;;;;;;;
jeux;La Course des Tortues;;Achat;1;Knizia;;Winning Moves;2006;J;;5;20mn;15;4,46;1;;;R;A;2;3;4;5;;;;;;;;;;;
jeux;Manitu;new;Achat;1;Zeimet;;Drei Magier Spiele;2007;J;;7;_;2;4,50;1;;;_;;2;3;4;5;6;;;;;;;;;;
jeux;Kidiquoi;;Sento-Sphère;1;Debroise;Deprade;SentoSphère;2003;J;;5;_;_;_;1;;;_;;2;3;4;5;6;;;;;;;;;;
jeux;Pique Plume - Extension;;Achat;1;Zoch;;Zoch;2000;J;;4;20mn;21;3,95;2;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Attention Pirates !;;Achat;1;Knizia;;Ravensburger;2005;J;GP;8;45mn;20;3,10;1;;;R;_;2;3;4;5;6;;;;;;;;;;
jeux;Daddy cool;;Achat;1;Meister;;Gigamic;2004;J;;5;20mn;4;4,00;1;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Monza;;Achat;1;Grunau;;Haba;2000;J;GP;5;15mn;10;3,50;1;;;R;;2;3;4;5;6;;;;;;;;;;
jeux;Castor Party;;Asmodee;1;Meister;;Asmodée;2000;J;;6;30mn;8;3,37;2;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Le Bal masqué des coccinnelles (Maskenball dr Käfer);;Achat;1;Joopen;;Sélecta;2001;J;;4;30mn;16;4,37;1;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Pickomino;;Achat;1;Knizia;;Gigamic;2005;J;GP;8;30mn;70;3,63;2;;P;_;A;2;3;4;5;6;7;;;;;;;;;
jeux;Meli Melo;new;;1;Zeimet;;Zoch;2003;J;_;7;20mn;24;3,66;2;;;R;_;2;3;4;5;6;7;;;;;;;;;
jeux;Mauvaise Prise (Knapp Daneben);;Achat;2;Zeimet;;Haba;2004;J;;6;5mn;_;_;0;;P;_;;2;3;4;5;6;7;8;;;;;;;;
jeux;Les Chevaliers de la Noisette;;Asmodee;1;Tauber;;Asmodée;1996;J;;8;30mn;8;3,50;1;;P;_;;;3;4;;;;;;;;;;;;
;222 jeux...;;;;;;;;;;;;;3,75;;;;;;;;;;;;;;;;;;;;
