type ligne;;;origine;ex;auteur 1;auteur 2;editeur;yr;J;classe;age;durée;nombre;moy;dif;m.c.;Ph;R;A;;;;;;;;;;;;;;;
tag;Apero;18 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Les Evadés de Cartagena;;Tilsit;1;Colovini;;Tilsit;2005;;GP;8;40mn;23;3,69;1;;P;R;A;2;3;4;5;;;;;;;;;;;
jeux;Red Hot Silly Dragon;;Tilsit;1;Blossier;Henry;Tilsit;2005;;GP;10;30mn;19;3,64;1;;P;_;;2;3;4;5;;;;;;;;;;;
jeux;Gloria Picktoria;new;;1;Moon;;Zoch;2007;;GP;10;45mn;5;4,00;1;;;R;_;2;3;4;5;;;;;;;;;;;
jeux;Villa Paletti;new;;1;Payne;;Zoch;2001;J;GP;8;25mn;74;3,82;1;;;R;A;2;3;4;5;;;;;;;;;;;
jeux;Niagara - ext 5/6 - Flussgeister am Nia.;new;;1;Liesching;;Zoch;2006;;GP;10;45mn;13;4,77;2;;;R;_;2;3;4;5;6;;;;;;;;;;
jeux;Pick PickNick;new;;1;Dorra;;Zoch;2001;J;GP;8;20mn;33;3,70;1;;;R;A;2;3;4;5;6;;;;;;;;;;
jeux;Volle Wolle;new;;1;Zucchini;;Zoch;2007;;GP;10;45mn;11;3,90;1;;;R;_;2;3;4;5;6;;;;;;;;;;
jeux;Cacofolie;new;Achat;1;Nestel;;Zoch;2003;J;GP;5;15mn;14;3,57;1;;;_;_;2;3;4;5;6;;;;;;;;;;
jeux;Canardage;new;Achat;1;Meyers;;Amigo;2007;;GP;10;20mn;22;3,00;2;;;R;_;2;3;4;5;6;;;;;;;;;;
jeux;That's Life !;;Achat;1;Kramer;Kiesling;Ravensburger;2005;;GP;8;30mn;28;3,71;1;;;R;;2;3;4;5;6;;;;;;;;;;
jeux;Cloud 9;;Achat;1;Weissblum;;Out of the box;1999;;GP;10;30mn;39;3,76;1;;P;_;A;2;3;4;5;6;;;;;;;;;;
jeux;Coyote;;Tilsit;1;Albertarellli;;Tilsit;2005;;GP;10;20mn;23;3,56;1;;P;R;;2;3;4;5;6;;;;;;;;;;
jeux;Igloo Pop;;Achat;1;Meister;Zoch;Zoch;2003;J;GP;7;20mn;37;4,13;2;;P;R;A;2;3;4;5;6;;;;;;;;;;
jeux;Dice Run;;Achat;1;Albertarelli;;Kidult;2002;;GP;10;30mn;4;2,50;1;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Du Balai!;;Achat;1;Cathala;Laget;Asmodée;2006;;GP;8;20mn;143;3,96;1;;;_;A;2;3;4;5;6;;;;;;;;;;
jeux;Dragons du Mékong;;Achat;1;Fraga;;Eurogames;2000;J;GP;8;45mn;86;3,61;2;;;_;A;2;3;4;5;6;;;;;;;;;;
jeux;Perudo;;Asmodee;1;Fry;Fernandini;Asmodée;2003;;GP;8;20mn;134;3,90;1;;P;_;A;2;3;4;5;6;;;;;;;;;;
jeux;Pirahna Pedro;;Asmodee;1;Schliemann;;Asmodée;2006;;GP;8;30mn;18;3,16;1;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Iliade;;Asmodee;1;Ehrhard;;Asmodée;2006;;GP;10;45mn;47;3,49;2;;;R;;2;3;4;5;6;;;;;;;;;;
jeux;Code Cracker;new;Achat;1;Knizia;;Ravensburger;2007;;GP;8;20mn;5;3,60;2;;;R;_;2;3;4;5;6;;;;;;;;;;
jeux;Megamix;;Tilsit;1;Blossier;Henry;Tilsit;2006;;GP;9;20mn;5;2,60;2;;P;_;;2;3;4;5;6;7;8;;;;;;;;
jeux;Korsar;;Tilsit;1;Knizia;;Tilsit;2005;;GP;10;20mn;26;3,11;2;;P;R;;2;3;4;5;6;7;8;;;;;;;;
jeux;Maîtres Voleurs;;Achat;1;Czarnetzki;;Zoch;2004;;GP;10;75mn;18;3,50;2;;P;_;;2;3;4;5;6;7;8;;;;;;;;
jeux;6 qui prend;;Achat;2;Kramer;;Amigo;1994;;GP;10;30mn;140;3,80;1;;;R;A;2;3;4;5;6;7;8;9;10;;;;;;
jeux;Gang of Four;;Achat;1;F.Yih;;Days of Wonder;2002;;GP;8;30mn;203;4,09;2;;;R;;;3;4;;;;;;;;;;;;
jeux;Yspahan;;Achat;1;Pauchon;;Ystari Games;2006;;GP;8;50mn;53;4,35;1;;;R;A;;3;4;;;;;;;;;;;;
jeux;Walhalla;new;;1;Zucchini;;Amigo;2006;;GP;12;60mn;6;4,00;2;;;R;A;;3;4;;;;;;;;;;;;
jeux;Les Colons de Catane;;Achat;1;Teuber;;Tilsit;1997;;GP;10;75mn;346;3,98;2;;P;R;A;;3;4;;;;;;;;;;;;
jeux;Les Colons de Catane - ext 5/6;new;JSP;1;Teuber;;Filosofia;2006;;GP/JP;12;120mn;11;3,54;2;;;_;_;;3;4;5;6;;;;;;;;;;
jeux;Diabolo;new;Achat;1;Schacht;;Amigo;2007;;GP;8;30mn;21;3,42;1;;;R;_;;3;4;5;;;;;;;;;;;
jeux;Eollis Pirates des vents;new;;1;Célébi;Bernard;Hazgaard;2007;;GP;10;120mn;27;3,52;2;;;R;_;;3;4;5;;;;;;;;;;;
jeux;Coloretto;;Achat;1;Schacht;;AbacusSpiele;2003;J;GP;8;30mn;63;3,92;1;;;R;A;;3;4;5;;;;;;;;;;;
jeux;Key Largo;;Tilsit;1;Randless;Faidutti/Selinker;Tilsit;2005;;GP;10;;23;3,17;2;;;R;A;;3;4;5;;;;;;;;;;;
jeux;Niagara;;Achat;1;Liesching;;Zoch;2004;;GP;8;60mn;68;3,86;2;;;R;;;3;4;5;;;;;;;;;;;
jeux;Figaro;;Tilsit;1;Knizia;;Tilsit;2006;;GP;8;30mn;4;3,00;1;;;R;A;;3;4;5;;;;;;;;;;;
jeux;Non Merci;;Achat;1;Gimmler;;Amigo;2004;;GP;8;20mn;135;3,97;1;;;R;A;;3;4;5;;;;;;;;;;;
jeux;Zombies;;Asmodee;1;Normandon;;Asmodée;2005;;GP;10;60mn;97;3,55;2;;P;_;_;;3;4;5;6;;;;;;;;;;
jeux;Cincinnati;new;Achat;1;Staupe;;Amigo;2006;;GP;10;45mn;12;3,25;1;;;R;_;;3;4;5;6;;;;;;;;;;
jeux;Bszzz..!;;Achat;1;Keller;;Zoch;2003;;GP;8;30mn;5;4,00;2;;P;_;;;3;4;5;6;;;;;;;;;;
jeux;Kabale und Hiebe (De Cape et dEpee);new;JSP;1;Stepponat;;Hans im Glück;2006;;GP;8;30mn;8;4,00;2;;;_;A;;3;4;5;6;;;;;;;;;;
jeux;Bacchanales;;Sento-Sphère;1;Job;;SentoSphère;1993;;GP;18;_;2;4,00;4;;;_;;;3;4;5;6;7;;;;;;;;;
jeux;Les Chevaliers de la Table Ronde;;Achat;1;Cathala;Laget;Days of Wonder;2005;;GP;10;90mn;283;4,18;3;;;R;A;;3;4;5;6;7;;;;;;;;;
jeux;Diamant;new;Achat;1;Faidutti;Moon;Schmidt;2005;;GP;8;30mn;140;3,65;1;;;R;A;;3;4;5;6;7;8;;;;;;;;
jeux;Santy Anno;;Achat;1;Orban;;Repos production;2006;;GP;10;30mn;26;4,11;1;;;R;;;3;4;5;6;7;8;;;;;;;;
jeux;Wanted - Dead or Alive;;Achat;1;Sciarra;;Tilsit;2004;;GP;10;30mn;78;4,15;2;;P;_;A;;3;4;5;6;7;8;;;;;;;;
jeux;Cosmic Attack;new;Achat;1;Fraga;;Cocktail Games;2006;;GP;8;15mn;4;4,50;0;;;R;_;;;4;5;6;;;;;;;;;;
jeux;Objets trouvés;;Achat;1;des Pallières;;Asmodée;2005;;GP;12;45mn;97;3,81;2;;;R;A;;;4;5;6;7;8;9;;;;;;;
jeux;Objets Trouvés;;Asmodee;1;des Pallières;;Asmodée;2005;;GP;12;45mn;90;3,82;2;;;R;A;;;4;5;6;7;8;9;;;;;;;
jeux;Time'S Up - Bleu & Jaune;;Asmodee;1;Sarrett;;Repos production;2005;;GP;12;45mn;169;4,50;2;;;R;A;;;4;5;6;7;8;9;10;11;12;;;;
jeux;Petits Meurtres & Faits Divers;new;JSP;1;Marly;;Asmodée;2007;;GP;12;45mn;53;3,98;2;;;_;_;;;;5;6;7;;;;;;;;;
jeux;Ostrakon;;Achat;1;Sorrentino;;Da Vinci Games;;;GP;8;50mn;3;2,66;2;;;R;;;;;5;6;7;8;9;10;11;12;;;;
jeux;Defifoo Noir;new;Achat;1;Finet;;Defifoo SA;2005;;GP;7;30mn;3;3,66;1;;;_;_;;;;5;6;7;8;9;10;11;12;>>;20;;
jeux;Les Loups-Garous Thiercellieux;;Achat;1;des Pallières;Marly;Asmodée;2001;;GP;8;30mn_;431;4,28;1;;;R;A;;;;;;;8;9;10;11;12;>>;18;;
jeux;Les Loups-Garous T - Ext1:Nlle Lune;;Achat;1;des Pallières;Marly;Asmodée;2001;;GP;8;30mn_;29;4,68;1;;;_;;;;;;;;8;9;10;11;12;>>;18;;
tag;GP/JP;27 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Oratory;;JoueClub;1;_;;Oratory;1996;;GP/JP;8;20mn;_;_;1;;;_;_;2;3;4;;;;;;;;;;;;
jeux;Manhattan;;Achat;1;Seyfarth;;Hans im Glück;1994;;GP/JP;10;1h;55;3,90;2;5/6;;_;A;2;3;4;;;;;;;;;;;;
jeux;Aqua Romana;new;Achat;1;Schlegel;;Queen Games;2005;;GP/JP;8;1h;44;3,66;6;;;R;A;2;3;4;;;;;;;;;;;;
jeux;Can't Stop;;Achat;1;Sackson;;Asmodée;2006;;GP/JP;7;30mn;60;4,01;2;;P;_;A;2;3;4;;;;;;;;;;;;
jeux;Samuraï;new;Achat;1;Knizia;;Descartes;1998;;GP/JP;12;90mn;105;4,33;3;6/6;;R;A;2;3;4;;;;;;;;;;;;
jeux;Hamster Rolle;new;;1;Zeimet;;Zoch;2000;J;GP/JP;6;30mn;16;3,94;1;;;_;A;2;3;4;;;;;;;;;;;;
jeux;Alchemist;new;Achat;1;Rossi;;Amigo;2007;;GP/JP;10;40mn;8;3,50;3;;;R;A;2;3;4;5;;;;;;;;;;;
jeux;Fantasy Pub;;Tilsit;1;Ornella;;Tilsit;2005;;GP/JP;11;45mn;24;3,00;3;;P;_;A;2;3;4;5;;;;;;;;;;;
jeux;Maka Bana;;Tilsit;1;Haffner;;Tilsit;2003;;GP/JP;10;1h;147;3,85;2;;;R;;2;3;4;5;;;;;;;;;;;
jeux;Boursicocotte;;Achat;1;Koltze;;Asmodée;2003;;GP/JP;7;45mn;110;4,12;2;;P;R;;2;3;4;5;;;;;;;;;;;
jeux;Carcassonne;;Achat;1;Wrede;;Hans im Glück;2000;;GP/JP;10;30mn;295;3,87;2;5/6;P;R;A;2;3;4;5;;;;;;;;;;;
jeux;Carcassonne - Der Graf von;;Achat;1;Wrede;;Hans im Glück;2004;;GP/JP;10;30mn;16;2,93;2;;P;R;;2;3;4;5;;;;;;;;;;;
jeux;Elfenland;new;Achat;1;Moon;;Amigo;1998;;GP/JP;10;60mn;89;3,82;3;;;R;A;2;3;4;5;6;;;;;;;;;;
jeux;Paf le singe !;;Achat;1;Hansson;;Blackbook;2005;;GP/JP;10;30mn;34;3,47;2;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Bohnanza;;Achat;1;Rosenberg;;Gigamic;2003;;GP/JP;12;1h;99;4,12;2;;;R;A;2;3;4;5;6;7;;;;;;;;;
jeux;Roborally;new;Achat;1;Garfield;;Play Factory;2006;;GP/JP;12;30mn;28;4,35;2;;;R;;2;3;4;5;6;7;8;;;;;;;;
jeux;Himalaya;;Tilsit;1;Bonnessée;;Tilsit;2004;;GP/JP;12;1h;138;4,26;3;;P;_;;;3;4;;;;;;;;;;;;
jeux;Ur;;Achat;1;Mori;;Millenium;2006;;GP/JP;12;60mn;8;4,37;3;;;R;;;3;4;;;;;;;;;;;;
jeux;Der Elefant im Porzellanladen;new;Achat;1;Schacht;;Amigo;2006;;GP/JP;8;30mn;14;3,50;2;;;R;A;;3;4;5;;;;;;;;;;;
jeux;Un Mouton a la Mer;new;;1;Dorra;;Amigo;2002;;GP/JP;12;35mn;66;4,01;3;;;R;A;;3;4;5;;;;;;;;;;;
jeux;China Moon;;Asmodee;1;Faidutti;;Eurogames;2003;;GP/JP;8;30mn;41;3,68;1;;P;R;;;3;4;5;;;;;;;;;;;
jeux;Jericho;;Achat;1;Lehmann;;AbacusSpiele;2006;;GP/JP;8;20mn;10;3,20;1;;;R;A;;3;4;5;;;;;;;;;;;
jeux;Canyon;;Achat;1;Herschler;;AbacusSpiele;1997;;GP/JP;10;45mn;10;3,70;1;2/6;;R;;;3;4;5;6;;;;;;;;;;
jeux;Saboteur;new;;1;Moyersoen;;Amigo;2004;;GP/JP;8;30mn;122;3,52;2;;;R;_;;3;4;5;6;7;8;9;10;;;;;;
jeux;Kezako;;Interlude;1;Weber;;Cocktail Games;2007;;GP/JP;10;30mn;29;3,97;1;;;;A;;;4;5;6;7;8;;;;;;;;
jeux;SoiréeEnquête1 - LaMortSHabilleDeBlanc;new;Achat;1;Montiage;;Asmodée;2001;;GP/JP;16;4h;9;4,00;4;;;_;_;;;;;;;8;;;;;;;;
jeux;SoiréeEnquête2 - Beverly Place;new;Achat;1;Montiage;;Asmodée;2001;;GP/JP;16;4h;11;4,72;4;;;_;_;;;;;;;8;;;;;;;;
tag;Joueurs Passionnés (JP);12 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Les légendes de Camelot;;Achat;1;Parks;;Blackbook;2005;;JP;10;60mn;11;4,09;2;;;R;;2;3;4;;;;;;;;;;;;
jeux;Caylus Magna Carta;new;Achat;1;Attia;;Ystari Games;2007;;JP;10;60mn;25;4,52;2;;;R;A;2;3;4;;;;;;;;;;;;
jeux;Les Piliers de la Terre;new;Achat;1;Rieneck;Stadler;Filosofia;2007;;JP;12;2h;35;4,45;3;;;R;A;2;3;4;;;;;;;;;;;;
jeux;Leonardo Da Vinci;;Tilsit;1;Brasini;Gigli;Da Vinci Games;2006;;JP;12;90 mn;37;4,27;4;;;R;A;2;3;4;5;;;;;;;;;;;
